Y,X1,X2,X3
67682916,732,147,629
49074480,294,195,856
63662760,280,401,567
53592770,163,385,854
10218208,121,203,416
233538756,471,764,649
215921160,845,676,378
13188600,136,225,431
68878160,515,208,643
17948700,35,990,518
15535156,91,637,268
391891500,406,975,990
324818780,572,829,685
238656384,929,384,669
120919500,300,507,795
2385720,20,846,141
10088940,724,929,15
44785664,256,994,176
132759000,894,450,330
32182920,126,540,473
88517288,617,454,316
136853220,457,420,713
33272816,146,244,934
112591710,735,211,726
6670554,479,66,211
19030272,698,32,852
72488160,709,720,142
237237192,774,436,703
181998198,822,657,337
11682536,652,34,527
5741060,20,923,311
199926246,862,939,247
13171860,45,338,866
444936586,677,947,694
80813320,727,794,140
5682644,59,121,796
402155740,707,595,956
105350400,465,384,590
52820190,790,437,153
18820830,159,623,190
36065848,749,52,926
75668367,107,831,851
455185200,850,842,636
1895400,450,54,78
82613115,923,221,405
106633800,520,651,315
343465080,777,860,514
6262289,293,737,29
52778744,92,718,799
66894408,201,566,588
150322194,426,629,561
220259052,338,738,883
12797200,214,92,650
38384200,755,205,248
18085176,489,201,184
638400,56,25,456
101241426,429,374,631
127966956,949,661,204
11697155,365,439,73
64273660,220,631,463
87915240,609,360,401
11030544,112,353,279
150249090,727,415,498
2406834,249,18,537
42210896,689,547,112
14635488,751,696,28
121674644,182,742,901
17076744,684,146,171
474321760,830,748,764
7560345,13,685,849
877200,430,255,8
31323000,394,265,300
58768320,277,320,663
336404250,742,775,585
327724540,481,815,836
159900000,260,615,1000
14117400,220,713,90
249873,149,3,559
33784320,848,83,480
139545945,927,935,161
84284928,603,896,156
224751800,466,700,689
240028272,594,894,452
66690000,135,760,650
392766,2,363,541
2889744,421,24,286
50608182,67,786,961
26643760,55,884,548
38668364,413,263,356
40054560,392,390,262
395241230,898,565,779
62193684,238,582,449
136059360,296,652,705
133189980,762,770,227
53566380,74,945,766
36814375,125,299,985
19088300,134,275,518
201058368,516,392,994
114461424,567,682,296
86501800,685,140,902
883344,132,7,956
62646276,453,154,898
1344870,306,5,879
588064,376,46,34
63509504,436,569,256
24497616,664,258,143
82166058,279,611,482
57848197,253,613,373
43453264,472,191,482
9491040,351,40,676
28051842,619,182,249
16514160,79,624,335
95579325,999,445,215
31390260,239,330,398
320257476,389,847,972
121464000,750,224,723
228573198,666,831,413
293376320,379,820,944
89752320,636,245,576
184989350,746,545,455
311171490,658,565,837
17103680,215,904,88
41841800,836,77,650
81709320,478,407,420
316233450,974,999,325
83263620,246,935,362
90536028,638,201,706
1056252,6,989,178
12468992,919,128,106
94888482,134,813,871
197532720,792,490,509
100890684,324,607,513
132906816,476,554,504
12358170,90,803,171
251657020,545,482,958
42232896,816,228,227
222092460,716,339,915
132697240,883,884,170
2443436,317,41,188
46618230,251,205,906
686801511,913,753,999
164094984,243,747,904
5369920,173,40,776
61194210,649,449,210
216903849,349,669,929
53824160,452,458,260
23601600,44,600,894
229043384,776,943,313
31430880,69,520,876
6956024,344,73,277
2918400,192,25,608
232619450,790,895,329
17534082,274,83,771
22125376,232,262,364
108273704,812,242,551
4864000,40,256,475
23949508,407,188,313
731164172,967,898,842
107653392,292,924,399
2828980,77,334,110
166850096,392,974,437
188704060,367,547,940
493935408,918,954,564
12287010,15,974,841
3399312,302,268,42
30003680,490,712,86
9134580,717,26,490
297472000,664,560,800
210506454,531,758,523
85056768,536,342,464
121499532,827,318,462
630486848,997,964,656
28313872,346,212,386
8634120,330,211,124
53333280,962,924,60
115044720,372,940,329
82511352,968,369,231
17502720,43,768,530
4419009,227,63,309
126807102,599,619,342
117308380,955,574,214
3325608,33,494,204
12910500,151,950,90
30370500,612,397,125
24625410,115,401,534
22998360,165,532,262
85461120,360,296,802
45809280,482,160,594
192372544,476,871,464
788184,712,369,3
84216,1,348,242
32510520,194,980,171
59115960,762,90,862
63762390,669,706,135
271011870,711,470,811
31151328,312,916,109
24664365,935,27,977
85585500,275,630,494
80541009,207,641,607
23035600,56,950,433
537900055,809,785,847
122329830,265,758,609
64336896,576,716,156
17214079,677,541,47
209475,105,35,57
105247840,190,712,778
122306912,364,866,388
106184559,949,151,741
216555852,412,723,727
24712299,347,123,579
27787656,744,169,221
96595200,559,270,640
28224000,768,525,70
958320,176,165,33
99466740,710,774,181
63648000,85,800,936
78004212,858,694,131
266770120,491,940,578
29205472,944,62,499
145189800,690,501,420
37466520,260,511,282
77767972,661,439,268
50873472,559,128,711
26388656,392,194,347
230765997,591,847,461
13411300,833,161,100
5680059,231,367,67
69210240,928,330,226
23536974,151,498,313
68919048,396,503,346
38018480,820,173,268
303764230,485,686,913
354270,7,105,482
163857771,803,237,861
152584124,562,902,301
144720000,1000,335,432
